EmployeeID,Tenure,Department,Role,MonthlyHours,LastPromotion,Salary,Attrition,RiskPercentage,Driver1,Driver2,Driver3
EMP0001,57,Operations,Operations Specialist,155,34,59170.41,1,34.25,MonthlyHours,LastPromotion,Salary
EMP0002,33,Engineering,Staff Engineer,149,20,131867.71,1,36.45,LastPromotion,Tenure,MonthlyHours
EMP0003,47,Sales,Account Executive,139,13,48520.32,1,38.05,Salary,MonthlyHours,LastPromotion
EMP0004,50,Sales,Sales Representative,171,23,56223.15,1,45.95,Tenure,Department_Engineering,MonthlyHours
EMP0005,25,Operations,Director of Operations,147,4,141552.92,1,45.45,Department_Sales,LastPromotion,Salary
EMP0006,31,Finance,Financial Analyst,159,3,56798.11,1,50.35,Role_Software Engineer,MonthlyHours,Tenure
EMP0007,71,Finance,VP of Finance,133,31,158024.81,0,49.55,Department_HR,Salary,LastPromotion
EMP0008,46,Engineering,Software Engineer,177,44,61311.83,1,59.25,MonthlyHours,Salary,Tenure
EMP0009,36,Engineering,Senior Engineer,150,10,96988.96,1,58.3,MonthlyHours,LastPromotion,Salary
EMP0010,82,Sales,Sales Representative,177,8,63492.74,1,65.45,LastPromotion,Tenure,MonthlyHours
EMP0011,19,Finance,Accountant,150,12,58144.73,1,64.5,Salary,MonthlyHours,LastPromotion
EMP0012,34,Operations,Director of Operations,165,25,151687.14,1,69.85,Tenure,Department_Engineering,MonthlyHours
EMP0013,52,Operations,Director of Operations,159,29,130968.32,1,72.05,Department_Sales,LastPromotion,Salary
EMP0014,110,Marketing,Growth Hacker,180,1,51487.5,1,78.3,Role_Software Engineer,MonthlyHours,Tenure
EMP0015,33,Marketing,Marketing Manager,143,25,103571.13,0,75.85,Department_HR,Salary,LastPromotion
EMP0016,26,Engineering,Senior Engineer,166,17,102571.17,1,82.4,MonthlyHours,Salary,Tenure
EMP0017,43,Operations,Operations Manager,145,39,109686.45,1,82.35,MonthlyHours,LastPromotion,Salary
EMP0018,30,HR,HR Manager,166,25,73448.24,1,88.6,LastPromotion,Tenure,MonthlyHours
EMP0019,30,Sales,Account Executive,197,10,55186.34,1,41.35,Salary,MonthlyHours,LastPromotion
EMP0020,45,HR,HR Generalist,126,44,59888.7,1,33.8,Tenure,Department_Engineering,MonthlyHours
