EmployeeID,Tenure,Department,Role,MonthlyHours,LastPromotion,Salary,Attrition,RiskPercentage,Driver1,Driver2,Driver3
EMP0001,8,Marketing,Marketing Specialist,181,1,54367.85,0,68.7,Tenure,Salary,MonthlyHours
EMP0002,47,Sales,Account Executive,174,41,51306.64,1,50.7,Tenure,Salary,Role Overload
EMP0003,71,Engineering,Staff Engineer,166,17,132955.42,1,59.1,Tenure,LastPromotion,Role Overload
EMP0004,42,Operations,Director of Operations,190,34,203652.43,0,43.7,Tenure,MonthlyHours,Market Competitiveness
EMP0005,2,Operations,Operations Manager,171,1,130793.09,0,52.0,Role Overload,MonthlyHours,Salary
EMP0006,50,Sales,VP of Sales,209,24,159665.42,0,70.7,Tenure,LastPromotion,Market Competitiveness
EMP0007,20,Engineering,Staff Engineer,150,10,102953.7,0,32.0,LastPromotion,Salary,Role Overload
EMP0008,89,Operations,Operations Specialist,171,32,51779.63,0,66.6,Market Competitiveness,Tenure,Salary
EMP0009,18,Finance,Accountant,159,13,63826.28,0,62.8,Role Overload,Salary,Tenure
EMP0010,30,Engineering,Engineering Manager,162,6,111415.32,0,44.2,Salary,Tenure,MonthlyHours
EMP0011,77,Finance,Financial Analyst,151,52,74400.9,0,63.9,MonthlyHours,Tenure,Role Overload
EMP0012,82,Operations,Director of Operations,163,56,185338.31,0,51.7,Tenure,Salary,LastPromotion
EMP0013,24,Finance,Accountant,157,23,76401.47,0,49.1,MonthlyHours,Role Overload,Salary
EMP0014,43,Operations,Operations Manager,162,16,105671.24,1,44.6,Salary,MonthlyHours,Tenure
EMP0015,6,Finance,Financial Analyst,179,3,52263.89,0,54.9,Market Competitiveness,MonthlyHours,Salary
EMP0016,62,HR,HR Manager,167,58,102460.74,0,58.8,Tenure,Salary,Role Overload
EMP0017,10,Finance,Finance Manager,158,0,110902.88,0,44.7,Salary,Role Overload,Market Competitiveness
EMP0018,29,Operations,Director of Operations,158,15,197205.55,0,47.4,MonthlyHours,Market Competitiveness,Role Overload
EMP0019,30,HR,VP of HR,171,8,164444.67,0,41.8,Tenure,Market Competitiveness,Salary
EMP0020,69,Engineering,Engineering Manager,186,47,99058.86,0,72.9,Tenure,MonthlyHours,Market Competitiveness
EMP0021,22,Operations,Operations Manager,173,15,124859.66,0,36.2,Market Competitiveness,Salary,Role Overload
EMP0022,17,Marketing,Marketing Manager,160,5,134155.71,0,31.8,Role Overload,LastPromotion,Tenure
EMP0023,40,Engineering,Engineering Manager,168,18,117880.17,0,45.0,MonthlyHours,Market Competitiveness,Salary
EMP0024,78,HR,Recruiter,183,30,76981.36,1,20.6,Salary,Tenure,MonthlyHours
EMP0025,17,Finance,VP of Finance,190,2,179904.28,0,36.6,Tenure,Role Overload,LastPromotion
EMP0026,49,Operations,Operations Manager,190,47,117112.8,0,65.5,Role Overload,LastPromotion,Tenure
EMP0027,26,Sales,VP of Sales,195,0,144965.86,0,60.1,Salary,Tenure,Role Overload
EMP0028,4,Marketing,Growth Hacker,166,0,54341.17,1,55.8,MonthlyHours,Salary,LastPromotion
EMP0029,63,Marketing,Growth Hacker,160,32,73180.33,0,36.7,Market Competitiveness,Tenure,Salary
EMP0030,29,Marketing,Growth Hacker,194,12,77147.03,0,68.3,Salary,Role Overload,Market Competitiveness
EMP0031,3,Marketing,Growth Hacker,181,0,51629.42,1,63.7,Market Competitiveness,Salary,Role Overload
EMP0032,27,Engineering,Engineering Manager,162,22,96908.65,0,59.2,LastPromotion,Market Competitiveness,Tenure
EMP0033,2,HR,VP of HR,170,1,193435.51,0,58.7,MonthlyHours,Role Overload,Market Competitiveness
EMP0034,108,Operations,Operations Manager,169,9,120034.4,0,45.2,Tenure,Salary,MonthlyHours
EMP0035,32,Engineering,Engineering Manager,175,17,117934.68,0,46.6,LastPromotion,Salary,Tenure
EMP0036,117,Finance,Accountant,166,7,60791.11,0,57.1,Role Overload,Salary,Tenure
EMP0037,43,Marketing,Growth Hacker,187,35,61702.49,1,58.1,MonthlyHours,Salary,Market Competitiveness
EMP0038,48,Finance,Accountant,168,31,59542.5,1,49.5,Salary,Market Competitiveness,MonthlyHours
EMP0039,4,Engineering,Staff Engineer,174,3,110584.72,0,49.3,Salary,Market Competitiveness,Role Overload
EMP0040,16,Finance,VP of Finance,175,3,180140.65,0,42.7,LastPromotion,Salary,Tenure
EMP0041,51,Finance,Accountant,183,44,76066.01,1,61.3,Tenure,LastPromotion,MonthlyHours
